2018 Rank,City,State,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (km2),2016 Population Density (sq mi),2016 Population Density (km2),Location (N),Location (W)
113,Huntington Beach,California,200641.0,189992.0,5.6,26.9,69.7,7459.0,2880.0,33.6906,118.0093
114,Salt Lake City,Utah,200591.0,186440.0,7.59,111.2,288.0,1742.0,673.0,40.7769,111.931
115,Grand Rapids,Michigan,200217.0,188040.0,6.48,44.4,115.0,4424.0,1708.0,42.9612,85.6556
116,Amarillo,Texas,199924.0,190695.0,4.84,101.4,262.6,1968.0,760.0,35.1999,101.8302
117,Yonkers,New York,199663.0,195976.0,1.88,18.0,46.6,11156.0,4307.0,40.9459,73.8674
118,Aurora,Illinois,199602.0,197899.0,0.86,44.9,116.3,4479.0,1729.0,41.7635,88.2901
119,Montgomery,Alabama,198218.0,205764.0,-3.67,159.8,413.9,1252.0,483.0,32.3472,86.2661
120,Akron,Ohio,198006.0,199110.0,-0.55,62.0,160.6,3188.0,1231.0,41.0805,81.5214
121,Little Rock,Arkansas,197881.0,193524.0,2.25,118.7,307.4,1673.0,646.0,34.7254,92.3586
122,Huntsville,Alabama,197318.0,180105.0,9.56,213.4,552.7,905.0,349.0,34.699,86.673
123,Augusta,Georgia,196939.0,195844.0,0.56,302.5,783.5,652.0,252.0,33.3655,82.0734
124,Port St. Lucie,Florida,195248.0,164603.0,18.62,118.9,307.9,1557.0,601.0,27.2806,80.3883
125,Grand Prairie,Texas,194614.0,175396.0,10.96,72.3,187.3,2637.0,1018.0,32.6869,97.0211
126,Columbus,Georgia,194160.0,189885.0,2.25,216.4,560.5,913.0,353.0,32.5102,84.8749
127,Tallahassee,Florida,193551.0,181376.0,6.71,100.4,260.0,1901.0,734.0,30.4551,84.2534
128,Overland Park,Kansas,192536.0,173372.0,11.05,75.1,194.5,2516.0,971.0,38.889,94.6906
129,Tempe,Arizona,192364.0,161719.0,18.95,40.0,103.6,4562.0,1761.0,33.3884,111.9318
130,McKinney,Texas,191645.0,131117.0,46.16,63.0,163.2,2735.0,1056.0,33.1985,96.668
131,Mobile,Alabama,189572.0,195111.0,-2.84,139.4,361.0,1384.0,534.0,30.6684,88.1002
132,Cape Coral,Florida,189343.0,154305.0,22.71,105.6,273.5,1703.0,658.0,26.6432,81.9974
133,Shreveport,Louisiana,188987.0,199311.0,-5.18,107.1,277.4,1820.0,700.0,32.4669,93.7922
134,Frisco,Texas,188170.0,116989.0,60.84,67.7,175.3,2417.0,933.0,33.1554,96.8226
135,Knoxville,Tennessee,187500.0,178874.0,4.82,98.5,255.1,1891.0,730.0,35.9707,83.9493
136,Worcester,Massachusetts,185877.0,181045.0,2.67,37.4,96.9,4933.0,1905.0,42.2695,71.8078
137,Brownsville,Texas,183392.0,175023.0,4.78,132.5,343.2,1387.0,536.0,25.9991,97.455
138,Vancouver,Washington,183012.0,161791.0,13.12,46.9,121.5,3728.0,1439.0,45.6349,122.5957
139,Fort Lauderdale,Florida,182595.0,165521.0,10.32,34.6,89.6,5166.0,1995.0,26.1412,80.1467
140,Sioux Falls,South Dakota,181883.0,153888.0,18.19,75.4,195.3,2312.0,893.0,43.5383,96.732
141,Ontario,California,181107.0,163924.0,10.48,49.9,129.2,3471.0,1340.0,34.0394,117.6042
142,Chattanooga,Tennessee,180557.0,167674.0,7.68,143.1,370.6,1241.0,479.0,35.066,85.2484
143,Providence,Rhode Island,179335.0,178042.0,0.73,18.4,47.7,9740.0,3760.0,41.8231,71.4188
144,Newport News,Virginia,178626.0,180719.0,-1.16,69.1,179.0,2631.0,1016.0,37.0762,76.522
145,Rancho Cucamonga,California,177751.0,165269.0,7.55,40.0,103.6,4413.0,1704.0,34.1233,117.5642
146,Santa Rosa,California,177586.0,167815.0,5.82,41.3,107.0,4241.0,1637.0,38.4468,122.7061
147,Oceanside,California,176080.0,167086.0,5.38,41.3,107.0,4249.0,1641.0,33.2245,117.3062
148,Salem,Oregon,173442.0,154637.0,12.16,48.6,125.9,3445.0,1330.0,44.9237,123.0232
149,Elk Grove,California,172886.0,153015.0,12.99,42.2,109.3,4022.0,1553.0,38.4146,121.385
150,Garden Grove,California,172646.0,170883.0,1.03,18.0,46.6,9714.0,3751.0,33.7788,117.9605
151,Pembroke Pines,Florida,172374.0,154019.0,11.92,33.0,85.5,5109.0,1973.0,26.021,80.3404
152,Peoria,Arizona,172259.0,154065.0,11.81,175.7,455.1,934.0,361.0,33.7862,112.308
153,Eugene,Oregon,171245.0,156185.0,9.64,44.1,114.2,3777.0,1458.0,44.0567,123.1162
154,Corona,California,168819.0,152374.0,10.79,39.5,102.3,4222.0,1630.0,33.862,117.5655
155,Cary,North Carolina,168160.0,135234.0,24.35,56.5,146.3,2873.0,1109.0,35.7809,78.8133
156,Springfield,Missouri,168122.0,159498.0,5.41,82.3,213.2,2033.0,785.0,37.1942,93.2913
157,Fort Collins,Colorado,167830.0,143986.0,16.56,55.8,144.5,2943.0,1136.0,40.5482,105.0648
158,Jackson,Mississippi,164422.0,173514.0,-5.24,111.0,287.5,1524.0,588.0,32.3158,90.2128
159,Alexandria,Virginia,160530.0,139966.0,14.69,15.0,38.8,10387.0,4010.0,38.8201,77.0841
160,Hayward,California,159620.0,144186.0,10.7,45.5,117.8,3493.0,1349.0,37.6287,122.1024
161,Lancaster,California,159053.0,156633.0,1.55,94.3,244.2,1698.0,656.0,34.6936,118.1753
